symbol_name,genscape/power/supply/de.cap_avail.bl.bio.d.c,genscape/power/supply/de.cap_avail.bl.btry.d.c,genscape/power/supply/de.cap_avail.bl.ccgt.d.c,genscape/power/supply/de.cap_avail.bl.coal.d.c,genscape/power/supply/de.cap_avail.bl.engine.d.c,genscape/power/supply/de.cap_avail.bl.gas_boiler.d.c,genscape/power/supply/de.cap_avail.bl.geo.d.c,genscape/power/supply/de.cap_avail.bl.gt.d.c,genscape/power/supply/de.cap_avail.bl.hydro_ps.d.c,genscape/power/supply/de.cap_avail.bl.hydro_res.d.c,genscape/power/supply/de.cap_avail.bl.hydro_ror.d.c,genscape/power/supply/de.cap_avail.bl.lig.d.c,genscape/power/supply/de.cap_avail.bl.nuc.d.c,genscape/power/supply/de.cap_avail.bl.oil.d.c,genscape/power/supply/de.cap_avail.bl.spv.d.c,genscape/power/supply/de.cap_avail.bl.waste.d.c,genscape/power/supply/de.cap_avail.bl.wnd.d.c,genscape/power/supply/de.cap_avail.bl.wnd_off.d.c,genscape/power/supply/de.cap_avail.bl.wnd_on.d.c,genscape/power/supply/de.cap_inst.bl.bio.d.c,genscape/power/supply/de.cap_inst.bl.btry.d.c,genscape/power/supply/de.cap_inst.bl.ccgt.d.c,genscape/power/supply/de.cap_inst.bl.coal.d.c,genscape/power/supply/de.cap_inst.bl.engine.d.c,genscape/power/supply/de.cap_inst.bl.gas_boiler.d.c,genscape/power/supply/de.cap_inst.bl.geo.d.c,genscape/power/supply/de.cap_inst.bl.gt.d.c,genscape/power/supply/de.cap_inst.bl.hydro_ps.d.c,genscape/power/supply/de.cap_inst.bl.hydro_res.d.c,genscape/power/supply/de.cap_inst.bl.hydro_ror.d.c,genscape/power/supply/de.cap_inst.bl.lig.d.c,genscape/power/supply/de.cap_inst.bl.nuc.d.c,genscape/power/supply/de.cap_inst.bl.oil.d.c,genscape/power/supply/de.cap_inst.bl.spv.d.c,genscape/power/supply/de.cap_inst.bl.waste.d.c,genscape/power/supply/de.cap_inst.bl.wnd.d.c,genscape/power/supply/de.cap_inst.bl.wnd_off.d.c,genscape/power/supply/de.cap_inst.bl.wnd_on.d.c,genscape/power/supply/de.pro.bl.bio.d.c,genscape/power/supply/de.pro.bl.btry.d.c,genscape/power/supply/de.pro.bl.ccgt.d.c,genscape/power/supply/de.pro.bl.coal.d.c,genscape/power/supply/de.pro.bl.engine.d.c,genscape/power/supply/de.pro.bl.gas_boiler.d.c,genscape/power/supply/de.pro.bl.gas.d.c,genscape/power/supply/de.pro.bl.geo.d.c,genscape/power/supply/de.pro.bl.gt.d.c,genscape/power/supply/de.pro.bl.hydro.d.c,genscape/power/supply/de.pro.bl.hydro_ps.d.c,genscape/power/supply/de.pro.bl.hydro_res.d.c,genscape/power/supply/de.pro.bl.hydro_ror.d.c,genscape/power/supply/de.pro.bl.lig.d.c,genscape/power/supply/de.pro.bl.nuc.d.c,genscape/power/supply/de.pro.bl.oil.d.c,genscape/power/supply/de.pro.bl.spv.d.c,genscape/power/supply/de.pro.bl.waste.d.c,genscape/power/supply/de.pro.bl.wnd.d.c,genscape/power/supply/de.pro.bl.wnd_off.d.c,genscape/power/supply/de.pro.bl.wnd_on.d.c,genscape/power/supply/de.pro.coal.d.c,genscape/power/supply/de.pro.gas.d.c,genscape/power/supply/de.pro.lig.d.c,genscape/power/supply/de.pro.pl.hydro.d.c,genscape/power/supply/de.pro.pl.spv.d.c,genscape/power/supply/de.pro.pl.wnd.d.c,genscape/power/supply/de.pro.spv.d.c,genscape/power/supply/de.pro.wnd.d.c
effective_date,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,,2026-08-15T18:24:00,2026-08-15T18:24:00,,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,2026-08-15T18:24:00,,,,,,,,
tag,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model,EPC_LT_Model
unit,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
timezone,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET,CET
1/1/2026 0:00,4.07,3.31,14.3,7.45,0.51,3.94,0,2.48,0,0,6.75,11.52,0,0.56,1.91,0.77,0,6.64,41.95,7.61,3.31,18.03,8.99,0.52,5.3,0,3.78,6.49,0.12,7.34,14.01,0,0.56,118.72,1.76,0,9.86,68.49,92.48,0,91.88,47.32,0,0.93,,0,0,,0,0,25.12,83.09,0,7.2,45.84,15.22,0,159.27,1006.71,,,,,,,,
1/2/2026 0:00,4.2,3.31,14.52,7.39,0.51,4.02,0,2.75,0,0,6.75,11.09,0,0.56,1.93,0.77,0,6.6,40.45,7.61,3.31,18.03,8.99,0.52,5.3,0,3.78,6.49,0.12,7.34,14.01,0,0.56,118.72,1.76,0,9.86,68.49,99.53,0,112.41,47.53,0,6.08,,0,0,,0,0,24.23,108.13,0,7.2,46.28,17.59,0,158.45,970.88,,,,,,,,
1/3/2026 0:00,4.2,3.31,15.04,7.4,0.52,4.21,0,2.69,0,0,6.75,12.14,0,0.54,2.19,0.77,0,4.05,23.8,7.61,3.31,18.03,8.99,0.52,5.3,0,3.78,6.49,0.12,7.34,14.01,0,0.56,118.72,1.76,0,9.86,68.49,100.89,0,168.59,59.36,0,12.79,,0,0,,0,0,24.16,190.59,0,7.2,52.59,17.59,0,97.16,571.3,,,,,,,,
1/4/2026 0:00,4.17,3.31,14.9,7.29,0.52,4.16,0,2.68,0,0,6.75,11.56,0,0.54,2.86,0.77,0,1.98,17.5,7.61,3.31,18.03,8.99,0.52,5.3,0,3.78,6.49,0.12,7.34,14.01,0,0.56,118.72,1.76,0,9.86,68.49,100.04,0,207.91,79.74,0,12.63,,0,0,,0,0,23.61,205.05,0,7.2,68.62,17.6,0,47.44,419.9,,,,,,,,
1/5/2026 0:00,4.26,3.31,14.93,7.4,0.52,4.17,0,2.62,0,0,6.75,11.42,0,0.54,3.37,0.77,0,1.33,11.98,7.61,3.31,18.03,8.99,0.52,5.3,0,3.78,6.49,0.12,7.34,14.01,0,0.56,118.72,1.76,0,9.86,68.49,102.24,5.66,320.84,150.49,4.49,22.43,,0,2.09,,0,0,33.86,255.29,0,8.57,80.96,17.87,0,31.91,287.53,,,,,,,,
1/6/2026 0:00,4.27,3.31,14.91,7.4,0.51,4.16,0,2.55,0,0,6.75,11.4,0,0.54,2.61,0.77,0,2.28,11.16,7.61,3.31,18.03,8.99,0.52,5.3,0,3.78,6.49,0.12,7.34,14.01,0,0.56,118.72,1.76,0,9.86,68.49,102.44,2,328.63,145.76,3.41,19.57,,0,0.74,,0,0,38.58,257.02,0,8.49,62.72,17.73,0,54.83,267.86,,,,,,,,
