symbol_name;genscape/power/supply/de.cap_inst.bl.bio.d.c;genscape/power/supply/de.cap_inst.bl.btry.d.c;genscape/power/supply/de.cap_inst.bl.ccgt.d.c;genscape/power/supply/de.cap_inst.bl.coal.d.c;genscape/power/supply/de.cap_inst.bl.engine.d.c;genscape/power/supply/de.cap_inst.bl.gas_boiler.d.c;genscape/power/supply/de.cap_inst.bl.geo.d.c;genscape/power/supply/de.cap_inst.bl.gt.d.c;genscape/power/supply/de.cap_inst.bl.hydro_ps.d.c;genscape/power/supply/de.cap_inst.bl.hydro_res.d.c;genscape/power/supply/de.cap_inst.bl.hydro_ror.d.c;genscape/power/supply/de.cap_inst.bl.lig.d.c;genscape/power/supply/de.cap_inst.bl.nuc.d.c;genscape/power/supply/de.cap_inst.bl.oil.d.c;genscape/power/supply/de.cap_inst.bl.spv.d.c;genscape/power/supply/de.cap_inst.bl.waste.d.c;genscape/power/supply/de.cap_inst.bl.wnd.d.c;genscape/power/supply/de.cap_inst.bl.wnd_off.d.c;genscape/power/supply/de.cap_inst.bl.wnd_on.d.c
effective_date;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00;2026-08-15T18:24:00
tag;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model;EPC_LT_Model
unit;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW;GW
timezone;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET;CET
01/01/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,83;6,49;0,12;7,34;9,07;0;0,56;179,6;1,76;0;20,81;83,12
01/02/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,83;6,49;0,12;7,34;9,07;0;0,56;181,1;1,76;0;21,35;83,53
01/03/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,83;6,49;0,12;7,34;8,971290323;0;0,56;182,6;1,76;0;21,89;83,95
01/04/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,83;6,49;0,12;7,34;6,01;0;0,56;184,1;1,76;0;22,43;84,37
01/05/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,83;6,49;0,12;7,34;6,01;0;0,56;185,6;1,76;0;22,98;84,78
01/06/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,83;6,49;0,12;7,34;6,01;0;0,56;187,1;1,76;0;23,52;85,2
01/07/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,876774194;6,49;0,12;7,34;6,01;0;0,56;188,6;1,76;0;24,06;85,62
01/08/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,88;6,49;0,12;7,34;6,01;0;0,56;190,1;1,76;0;24,6;86,03
01/09/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,88;6,49;0,12;7,34;6,01;0;0,56;191,6;1,76;0;25,14;86,45
01/10/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,88;6,49;0,12;7,34;6,01;0;0,56;193,1;1,76;0;25,68;86,87
01/11/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,88;6,49;0,12;7,34;6,01;0;0,56;194,6;1,76;0;26,23;87,28
01/12/2030 00:00;7,61;11,49;19,65;6,36;0,52;5,3;0;3,88;6,49;0,12;7,34;6,01;0;0,56;196,1;1,76;0;26,77;87,7
