date,technology,production_gwh,model_gwh,error_gwh
2030-01-01,battery,0.21000000,12.45184279,12.24184279
2030-01-02,battery,0.61000000,11.93908048,11.32908048
2030-01-03,battery,26.39000000,36.80824320,10.41824320
2030-01-04,battery,0.00000000,24.59527097,24.59527097
2030-01-05,battery,27.00000000,22.28026785,-4.71973215
2030-01-06,battery,0.00000000,8.30886007,8.30886007
2030-01-07,battery,3.45000000,6.14030680,2.69030680
2030-01-08,battery,0.00000000,30.94880348,30.94880348
2030-01-09,battery,26.61000000,39.75773184,13.14773184
2030-01-10,battery,0.39000000,13.00025743,12.61025743
2030-01-11,battery,1.79000000,37.94461305,36.15461305
2030-01-12,battery,12.40000000,0.00000000,-12.40000000
2030-01-13,battery,1.48000000,10.38357504,8.90357504
2030-01-14,battery,7.99000000,19.51863471,11.52863471
2030-01-15,battery,3.45000000,22.06080000,18.61080000
2030-01-16,battery,0.05000000,36.80824320,36.75824320
2030-01-17,battery,12.25000000,36.15720880,23.90720880
2030-01-18,battery,15.59000000,28.44453557,12.85453557
2030-01-19,battery,6.28000000,38.78063198,32.50063198
2030-01-20,battery,5.36000000,22.77582463,17.41582463
2030-01-21,battery,17.60000000,22.06080000,4.46080000
2030-01-22,battery,9.02000000,17.97825010,8.95825010
2030-01-23,battery,29.03000000,22.06080000,-6.96920000
2030-01-24,battery,29.39000000,22.06080000,-7.32920000
2030-01-25,battery,12.46000000,10.97851988,-1.48148012
2030-01-26,battery,2.68000000,22.06080000,19.38080000
2030-01-27,battery,0.35000000,10.67011002,10.32011002
2030-01-28,battery,27.88000000,25.42656985,-2.45343015
2030-01-29,battery,5.10000000,18.86692676,13.76692676
2030-01-30,battery,0.30000000,22.06080000,21.76080000
2030-01-31,battery,0.00000000,35.81839757,35.81839757
2030-02-01,battery,15.17000000,0.00000000,-15.17000000
2030-02-02,battery,27.00000000,12.70669483,-14.29330517
2030-02-03,battery,0.00000000,0.00000000,0.00000000
2030-02-04,battery,33.80000000,30.98751619,-2.81248381
2030-02-05,battery,0.00000000,39.39974947,39.39974947
2030-02-06,battery,36.07000000,22.06080000,-14.00920000
2030-02-07,battery,34.41000000,30.10198009,-4.30801991
2030-02-08,battery,11.19000000,38.52637912,27.33637912
2030-02-09,battery,25.20000000,43.36492718,18.16492718
2030-02-10,battery,0.00000000,0.89755268,0.89755268
2030-02-11,battery,0.06000000,0.00000000,-0.06000000
2030-02-12,battery,37.14000000,26.35959797,-10.78040203
2030-02-13,battery,32.12000000,21.54960871,-10.57039129
2030-02-14,battery,30.41000000,22.38774946,-8.02225054
2030-02-15,battery,8.51000000,22.62966726,14.11966726
2030-02-16,battery,8.11000000,26.54539776,18.43539776
2030-02-17,battery,0.00000000,13.11557754,13.11557754
2030-02-18,battery,34.31000000,0.00000000,-34.31000000
2030-02-19,battery,19.46000000,39.75773184,20.29773184
2030-02-20,battery,13.34000000,2.79203551,-10.54796449
2030-02-21,battery,24.59000000,29.11614221,4.52614221
2030-02-22,battery,16.21000000,38.38935910,22.17935910
2030-02-23,battery,2.62000000,36.80824320,34.18824320
2030-02-24,battery,18.99000000,11.67512331,-7.31487669
2030-02-25,battery,31.19000000,1.35446644,-29.83553356
2030-02-26,battery,3.20000000,29.28552925,26.08552925
2030-02-27,battery,31.48000000,39.75773184,8.27773184
2030-02-28,battery,29.63000000,35.49587127,5.86587127
2030-03-01,battery,31.21000000,32.30942361,1.09942361
2030-03-02,battery,27.00000000,36.70097470,9.70097470
2030-03-03,battery,7.53000000,23.54979969,16.01979969
2030-03-04,battery,8.57000000,0.00000000,-8.57000000
2030-03-05,battery,21.89000000,27.02297753,5.13297753
2030-03-06,battery,21.33000000,22.06080000,0.73080000
2030-03-07,battery,0.00000000,35.39386368,35.39386368
2030-03-08,battery,33.33000000,31.68008605,-1.64991395
2030-03-09,battery,8.66000000,38.35770390,29.69770390
2030-03-10,battery,0.00000000,22.06080000,22.06080000
2030-03-11,battery,38.70000000,0.00000000,-38.70000000
2030-03-12,battery,20.98000000,34.78422946,13.80422946
2030-03-13,battery,29.38000000,22.06080000,-7.31920000
2030-03-14,battery,27.00000000,5.82701194,-21.17298806
2030-03-15,battery,30.45000000,29.02662688,-1.42337312
2030-03-16,battery,27.00000000,30.65269270,3.65269270
2030-03-17,battery,18.94000000,13.49896665,-5.44103335
2030-03-18,battery,35.06000000,14.68948719,-20.37051281
2030-03-19,battery,27.35000000,44.12160000,16.77160000
2030-03-20,battery,16.80000000,42.39171110,25.59171110
2030-03-21,battery,25.52000000,33.65025137,8.13025137
2030-03-22,battery,27.00000000,16.28255232,-10.71744768
2030-03-23,battery,27.00000000,22.06080000,-4.93920000
2030-03-24,battery,24.13000000,22.06080000,-2.06920000
2030-03-25,battery,7.51000000,0.00000000,-7.51000000
2030-03-26,battery,42.70000000,30.79719182,-11.90280818
2030-03-27,battery,20.32000000,17.69693184,-2.62306816
2030-03-28,battery,35.09000000,22.06080000,-13.02920000
2030-03-29,battery,27.00000000,22.06080000,-4.93920000
2030-03-30,battery,25.30000000,11.49000000,-13.81000000
2030-03-31,battery,26.70000000,31.21722048,4.51722048
2030-04-01,battery,7.31000000,13.47881510,6.16881510
2030-04-02,battery,35.08000000,21.52819876,-13.55180124
2030-04-03,battery,15.08000000,38.87595356,23.79595356
2030-04-04,battery,37.91000000,30.13632229,-7.77367771
2030-04-05,battery,37.55000000,22.57601340,-14.97398660
2030-04-06,battery,24.01000000,22.06080000,-1.94920000
2030-04-07,battery,2.98000000,13.62022943,10.64022943
2030-04-08,battery,28.87000000,14.38960826,-14.48039174
2030-04-09,battery,34.35000000,36.75818279,2.40818279
2030-04-10,battery,5.29000000,22.06080000,16.77080000
2030-04-11,battery,50.32000000,14.76146167,-35.55853833
2030-04-12,battery,27.00000000,22.86172137,-4.13827863
2030-04-13,battery,27.00000000,8.32291634,-18.67708366
2030-04-14,battery,11.57000000,30.98427332,19.41427332
2030-04-15,battery,17.09000000,13.66287625,-3.42712375
2030-04-16,battery,20.67000000,16.77191896,-3.89808104
